,Átomo 0,Átomo 1,Átomo 2,Átomo 3,Átomo 4,Átomo 5,Átomo 6,Átomo 7,Átomo 8,Átomo 9,Átomo 10,Átomo 11,Átomo 12,Átomo 13,Átomo 14,Átomo 15,Átomo 16,Átomo 17,Átomo 18,Átomo 19,Átomo 20,Átomo 21,Átomo 22,Átomo 23,Átomo 24,Átomo 25,Átomo 26,Átomo 27,Átomo 28,Átomo 29,Átomo 30,Átomo 31,Átomo 32,Átomo 33,Átomo 34,Átomo 35,Átomo 36,Átomo 37,Átomo 38,Átomo 39
Día 1,0.1619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Día 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4193,0.0,0.0,0.0,0.0,0.0,-0.2035,0.0,0.0,0.0,0.0,0.0,2.3344
Día 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3203,0.0,0.0,0.0,1.883
Día 4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9386,0.0,0.0,0.6992,0.0,0.0,0.0,-1.6587,0.0,0.0,0.0,0.0,0.4371
Día 5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Día 6,0.0,1.213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.9587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Día 7,0.0,0.0,0.0,0.0,0.0,19.2348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Día 8,0.0,0.5199,0.0,0.0,0.0,0.0,0.0,0.0,-0.3796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9817,0.0,0.0,0.0,1.9413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Día 9,0.2247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.8491,0.0,0.0,0.0,0.4251,0.0,0.0,1.2924,0.0,-0.6858,0.0,0.0,0.0,0.0,0.0,0.0,0.0263
Día 10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7269,0.0,0.0,-0.0905,0.0,4.3749
